name,level,city,county,state,country,cases,deaths,recovered,tested,active,population,populationDensity,lat,long,url,hospitalized_current,rating,tz,featureId,countryId,stateId,discharged,countyId,aggregate,hospitalized,icu_current,icu,publishedDate
"Lower Austria, Austria",state,,,Lower Austria,Austria,3056,106,2844,,106,1653419,86.1501096312734,48.221000000000004,15.7605,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-3,iso1:AT,iso2:AT-3,,,,,,,
"Vorarlberg, Austria",state,,,Vorarlberg,Austria,913,18,893,,2,388711,151.1323771697396,47.2185,9.884,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-8,iso1:AT,iso2:AT-8,,,,,,,
"Upper Austria, Austria",state,,,Upper Austria,Austria,2901,58,2317,,526,1453733,121.32593739440766,48.1175,13.8705,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-4,iso1:AT,iso2:AT-4,,,,,,,
"Styria, Austria",state,,,Styria,Austria,1921,141,1689,,91,1231865,75.16722955746651,47.22,14.8675,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-6,iso1:AT,iso2:AT-6,,,,,,,
"Burgenland, Austria",state,,,Burgenland,Austria,368,11,338,,19,291023,73.29312420302173,47.477000000000004,16.578500000000002,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-1,iso1:AT,iso2:AT-1,,,,,,,
"Carinthia, Austria",state,,,Carinthia,Austria,437,13,410,,14,560300,58.66607338760046,46.7515,13.8605,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-2,iso1:AT,iso2:AT-2,,,,,,,
"Salzburg, Austria",state,,,Salzburg,Austria,1281,37,1219,,25,545742,76.64589859161056,47.4925,13.035,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-5,iso1:AT,iso2:AT-5,,,,,,,
"Tyrol, Austria",state,,,Tyrol,Austria,3580,101,3448,,31,739002,58.49689079536224,47.1945,11.531500000000001,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-7,iso1:AT,iso2:AT-7,,,,,,,
"Vienna, Austria",state,,,Vienna,Austria,4152,196,3600,,356,1888776,4625.6323488577955,48.2185,16.372,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.5098039215686274,Europe/Vienna,iso2:AT-9,iso1:AT,iso2:AT-9,,,,,,,
Austria,country,,,,Austria,18609,681,16758,,1170,8809212,105.09951583035115,47.696,13.346,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,,0.47058823529411764,Europe/Vienna,iso1:AT,iso1:AT,,,,,,,,
"New South Wales, Australia",state,,,New South Wales,Australia,3278,51,2787,,440,7480228,9.30773427409496,-32.831,147.3115,https://www.health.nsw.gov.au/_layouts/feed.aspx?xsl=1&web=/news&page=4ac47e14-04a9-4016-b501-65a23280e841&wp=baabf81e-a904-44f1-8d59-5f6d56519965&pageurl=/news/Pages/rss-nsw-health.aspx,,0.35294117647058826,Australia/Sydney,iso2:AU-NSW,iso1:AU,iso2:AU-NSW,,,,,,,
"Queensland, Australia",state,,,Queensland,Australia,1068,6,1055,,7,4703193,2.707438710513025,-19.204,145.7735,https://www.health.qld.gov.au/news-events/doh-media-releases,,0.35294117647058826,Australia/Brisbane,iso2:AU-QLD,iso1:AU,iso2:AU-QLD,,,,,,,
"Tasmania, Australia",state,,,Tasmania,Australia,226,13,213,,0,509965,7.478736313669716,-47.178,151.382,https://www.coronavirus.tas.gov.au/facts/cases-and-testing-updates,,0.35294117647058826,Australia/Hobart,iso2:AU-TAS,iso1:AU,iso2:AU-TAS,,,,,,,
"Antwerp, Flanders, Belgium",county,,Antwerp,Flanders,Belgium,8763,,,,,1847486,645.0240661045158,51.2485,4.717499999999999,https://epistat.wiv-isp.be/,0,0.43137254901960786,Europe/Brussels,iso2:BE-VAN,iso1:BE,iso2:BE-VLG,2861,iso2:BE-VAN,,,,,
"Limburg, Flanders, Belgium",county,,Limburg,Flanders,Belgium,6656,,,,,870880,357.5992438618318,50.998,5.4465,https://epistat.wiv-isp.be/,0,0.43137254901960786,Europe/Brussels,iso2:BE-VLI,iso1:BE,iso2:BE-VLG,1624,iso2:BE-VLI,,,,,
