name,level,city,county,state,country,cases,deaths,recovered,tested,active,population,populationDensity,lat,long,url,rating,tz,featureId,countryId,stateId,hospitalized,aggregate,discharged,countyId,publishedDate
"Lower Austria, Austria",state,,,Lower Austria,Austria,2496,63,1572,,861,1653419,86.11517389269162,48.221000000000004,15.7605,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-3,iso1:AT,iso2:AT-3,,,,,
"Vorarlberg, Austria",state,,,Vorarlberg,Austria,861,13,731,,117,388711,151.87536938286314,47.218,9.884,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-8,iso1:AT,iso2:AT-8,,,,,
"Upper Austria, Austria",state,,,Upper Austria,Austria,2211,38,1884,,289,1453733,121.5218368034171,48.117000000000004,13.871,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-4,iso1:AT,iso2:AT-4,,,,,
"Styria, Austria",state,,,Styria,Austria,1664,98,816,,750,1231865,75.07501882670093,47.2205,14.8675,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-6,iso1:AT,iso2:AT-6,,,,,
"Burgenland, Austria",state,,,Burgenland,Austria,308,6,200,,102,291023,73.53701200316694,47.477000000000004,16.578500000000002,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-1,iso1:AT,iso2:AT-1,,,,,
"Carinthia, Austria",state,,,Carinthia,Austria,397,12,307,,78,560300,58.563651783113166,46.7515,13.8605,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-2,iso1:AT,iso2:AT-2,,,,,
"Salzburg, Austria",state,,,Salzburg,Austria,1201,27,930,,244,545742,76.27192523268097,47.4925,13.035,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Berlin,iso2:AT-5,iso1:AT,iso2:AT-5,,,,,
"Tyrol, Austria",state,,,Tyrol,Austria,3430,88,2556,,786,739002,58.414808337056904,47.192,11.531500000000001,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-7,iso1:AT,iso2:AT-7,,,,,
"Vienna, Austria",state,,,Vienna,Austria,2215,87,1635,,493,1888776,4654.689195028475,48.2185,16.378999999999998,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.5098039215686274,Europe/Vienna,iso2:AT-9,iso1:AT,iso2:AT-9,,,,,
Austria,country,,,,Austria,14783,432,10631,,3720,8809212,105.06376002852437,47.696,13.346,https://info.gesundheitsministerium.at/data/GenesenTodesFaelleBL.js,0.47058823529411764,Europe/Vienna,iso1:AT,iso1:AT,,,,,,
"Australian Capital Territory, Australia",state,,,Australian Capital Territory,Australia,104,,92,7126,,396857,167.48688915216113,-35.5225,149.079,https://www.covid19.act.gov.au,0.35294117647058826,Australia/Sydney,iso2:AU-ACT,iso1:AU,iso2:AU-ACT,,,,,
"New South Wales, Australia",state,,,New South Wales,Australia,2963,30,,168626,,7480228,9.307645567038787,-32.831,150.125,https://www.health.nsw.gov.au/_layouts/feed.aspx?xsl=1&web=/news&page=4ac47e14-04a9-4016-b501-65a23280e841&wp=baabf81e-a904-44f1-8d59-5f6d56519965&pageurl=/news/Pages/rss-nsw-health.aspx,0.35294117647058826,Australia/Sydney,iso2:AU-NSW,iso1:AU,iso2:AU-NSW,,,,,
"Northern Territory, Australia",state,,,Northern Territory,Australia,28,,12,,,245562,0.18129986343870383,-18.4555,133.4995,https://coronavirus.nt.gov.au/,0.27450980392156865,Australia/Darwin,iso2:AU-NT,iso1:AU,iso2:AU-NT,,,,,
