locationID,slug,name,level,city,county,state,country,lat,long,population,aggregate,tz,cases,deaths,recovered,active,tested,hospitalized,hospitalized_current,discharged,icu,icu_current
iso1:ad,ad,AD,country,,,,Andorra,42.55,1.58,76177,,Europe/Andorra,897,52,803,,,,,,,
iso1:ae,ae,AE,country,,,,United Arab Emirates,23.91,54.33,9400145,,Asia/Dubai,58562,343,51628,,,,,,,
iso1:af,af,AF,country,,,,Afghanistan,33.83,66.03,34940837,,Asia/Kabul,36036,1248,24793,,,,,,,
iso1:ag,ag,AG,country,,,,Antigua and Barbuda,17.27,-61.8,102012,,America/Antigua,82,3,60,,,,,,,
iso1:al,al,AL,country,,,,Albania,41.13,20.06,2873457,,Europe/Tirane,4637,134,2637,,,,,,,
iso1:am,am,AM,country,,,,Armenia,40.29,44.94,2930450,,Asia/Yerevan,36996,700,26243,,,,,,,
iso1:ao,ao,AO,country,,,,Angola,-12.3,17.55,29784193,,Africa/Luanda,916,39,242,,,,,,,
iso1:ar,ar,AR,country,,,,Argentina,-35.39,-65.17,44938712,,America/Argentina/San_Luis,158334,2893,68022,,,,,,,
iso1:at,at,AT,country,,,,Austria,47.59,14.14,8809212,,Europe/Vienna,20338,712,18124,,,,,,,
iso1:at#iso2:at-1,burgenland-at,"Burgenland, AT",state,,,Burgenland,Austria,47.54,16.52,291023,,Europe/Vienna,402,11,363,,,,,,,
iso1:at#iso2:at-2,carinthia-at,"Carinthia, AT",state,,,Carinthia,Austria,46.77,13.92,560300,,Europe/Vienna,453,13,430,,,,,,,
iso1:at#iso2:at-3,lower-austria-at,"Lower Austria, AT",state,,,Lower Austria,Austria,48.27,15.75,1653419,,Europe/Vienna,3309,107,2937,,,,,,,
iso1:at#iso2:at-4,upper-austria-at,"Upper Austria, AT",state,,,Upper Austria,Austria,48.14,13.97,1453733,,Europe/Vienna,3530,58,2988,,,,,,,
iso1:at#iso2:at-5,salzburg-at,"Salzburg, AT",state,,,Salzburg,Austria,47.39,13.08,545742,,Europe/Vienna,1368,37,1229,,,,,,,
iso1:at#iso2:at-6,styria-at,"Styria, AT",state,,,Styria,Austria,47.27,15.01,1231865,,Europe/Vienna,2063,142,1786,,,,,,,
iso1:at#iso2:at-7,tyrol-at,"Tyrol, AT",state,,,Tyrol,Austria,47.19,11.5,739002,,Europe/Vienna,3653,101,3503,,,,,,,
iso1:at#iso2:at-8,vorarlberg-at,"Vorarlberg, AT",state,,,Vorarlberg,Austria,47.24,9.9,388711,,Europe/Vienna,940,18,901,,,,,,,
iso1:at#iso2:at-9,vienna-at,"Vienna, AT",state,,,Vienna,Austria,48.21,16.38,1888776,,Europe/Vienna,4797,201,4109,,,,,,,
iso1:au,au,AU,country,,,,Australia,-25.73,134.49,24511800,,Australia/Darwin,14403,155,9019,,,,,,,
