name,population
"Alta Floresta D'Oeste, RO",23167
"Ariquemes, RO",106168
"Cabixi, RO",5438
"Cacoal, RO",84813
"Cerejeiras, RO",16444
"Colorado do Oeste, RO",16227
"Corumbiara, RO",7567
"Costa Marques, RO",17855
"Espigão D'Oeste, RO",32047
"Guajará-Mirim, RO",45783
"Jaru, RO",51933
"Ji-Paraná, RO",127907
"Machadinho D'Oeste, RO",39097
"Nova Brasilândia D'Oeste, RO",20459
"Ouro Preto do Oeste, RO",36340
"Pimenta Bueno, RO",36434
"Porto Velho, RO",519531
"Presidente Médici, RO",19409
"Rio Crespo, RO",3723
"Rolim de Moura, RO",54702
"Santa Luzia D'Oeste, RO",6781
"Vilhena, RO",97448
"São Miguel do Guaporé, RO",22931
"Nova Mamoré, RO",29757
"Alvorada D'Oeste, RO",14722
"Alto Alegre dos Parecis, RO",13227
"Alto Paraíso, RO",20999
"Buritis, RO",38937
"Novo Horizonte do Oeste, RO",8751
"Cacaulândia, RO",6190
"Campo Novo de Rondônia, RO",14009
"Candeias do Jamari, RO",25983
"Castanheiras, RO",3119
"Chupinguaia, RO",10886
"Cujubim, RO",24226
"Governador Jorge Teixeira, RO",8095
"Itapuã do Oeste, RO",10272
"Ministro Andreazza, RO",9762
"Mirante da Serra, RO",11080
"Monte Negro, RO",15695
"Nova União, RO",7047
"Parecis, RO",5947
"Pimenteiras do Oeste, RO",2191
"Primavera de Rondônia, RO",2939
"São Felipe D'Oeste, RO",5280
"São Francisco do Guaporé, RO",19842
"Seringueiras, RO",11860
"Teixeirópolis, RO",4384
"Theobroma, RO",10494
"Urupá, RO",11665
"Vale do Anari, RO",11028
"Vale do Paraíso, RO",6998
"Acrelândia, AC",15020
"Assis Brasil, AC",7300
"Brasiléia, AC",25848
"Bujari, AC",10111
"Capixaba, AC",11456
"Cruzeiro do Sul, AC",87673
"Epitaciolândia, AC",18122
"Feijó, AC",34675
"Jordão, AC",8159
"Mâncio Lima, AC",18638
"Manoel Urbano, AC",9336
"Marechal Thaumaturgo, AC",18430
"Plácido de Castro, AC",19565
"Porto Walter, AC",11720
"Rio Branco, AC",401155
"Rodrigues Alves, AC",18504
"Santa Rosa do Purus, AC",6362
"Senador Guiomard, AC",22810
"Sena Madureira, AC",45177
"Tarauacá, AC",41976
"Xapuri, AC",19048
"Porto Acre, AC",18180
"Alvarães, AM",15860
"Amaturá, AM",11332
"Anamã, AM",13269
"Anori, AM",20538
"Apuí, AM",21583
"Atalaia do Norte, AM",19438
"Autazes, AM",38830
"Barcelos, AM",27364
"Barreirinha, AM",31593
"Benjamin Constant, AM",42020
"Beruri, AM",19258
"Boa Vista do Ramos, AM",18781
"Boca do Acre, AM",33976
"Borba, AM",40565
"Caapiranga, AM",12877
"Canutama, AM",15450
"Carauari, AM",28076
"Careiro, AM",37384
"Careiro da Várzea, AM",29595
"Coari, AM",84272
"Codajás, AM",28100
"Eirunepé, AM",34840
"Envira, AM",19668
"Fonte Boa, AM",18221
"Guajará, AM",16416
"Humaitá, AM",54001
"Ipixuna, AM",28933
"Iranduba, AM",47571
"Itacoatiara, AM",99955
"Itamarati, AM",7888
"Itapiranga, AM",9064
"Japurá, AM",3265
"Juruá, AM",14312
"Jutaí, AM",14753
"Lábrea, AM",45245
"Manacapuru, AM",96236
"Manaquiri, AM",31147
"Manaus, AM",2145444
"Manicoré, AM",54907
"Maraã, AM",18186
"Maués, AM",62755
"Nhamundá, AM",20899
"Nova Olinda do Norte, AM",36721
"Novo Airão, AM",18974
"Novo Aripuanã, AM",25237
"Parintins, AM",113168
"Pauini, AM",19329
"Presidente Figueiredo, AM",35352
"Rio Preto da Eva, AM",32577
"Santa Isabel do Rio Negro, AM",24436
"Santo Antônio do Içá, AM",21966
"São Gabriel da Cachoeira, AM",44816
"São Paulo de Olivença, AM",38515
"São Sebastião do Uatumã, AM",13685
"Silves, AM",9110
"Tabatinga, AM",64488
"Tapauá, AM",17299
"Tefé, AM",60154
"Tonantins, AM",18610
"Uarini, AM",13387
"Urucará, AM",16383
"Urucurituba, AM",22537
"Amajari, RR",12394
"Alto Alegre, RR",15638
"Boa Vista, RR",375374
"Bonfim, RR",12257
"Cantá, RR",17868
"Caracaraí, RR",21564
"Caroebe, RR",9950
"Iracema, RR",11600
"Mucajaí, RR",17528
"Normandia, RR",11045
"Pacaraima, RR",15580
"Rorainópolis, RR",29533
"São João da Baliza, RR",8052
"São Luiz, RR",7860
"Uiramutã, RR",10325
"Abaetetuba, PA",156292
"Abel Figueiredo, PA",7382
