name,population
Anhui,63240000
Beijing,21540000
Chongqing,31020000
Fujian,39410000
Gansu,26370000
Guangdong,113460000
Guangxi,49260000
Guizhou,36000000
Hainan,9340000
Hebei,75560000
Heilongjiang,37730000
Henan,96050000
Hubei,59170000
Hunan,68990000
Inner Mongol,25000034
Inner Mongolia,25000034
Jiangsu,80510000
Jiangxi,46480000
Jilin,27040000
Liaoning,43590000
Ningxia,6880000
Qinghai,6030000
Shaanxi,38640000
Shandong,100470000
Shanghai,24240000
Shanxi,37180000
Sichuan,83410000
Tianjin,15600000
Xizang,3440000
Tibet,3440000
Xinjiang,24870000
Yunnan,48300000
Zhejiang,57370000
