name,population
Greater London,8538689
West Midlands,2808356
Greater Manchester,2732854
West Yorkshire,2264329
Hampshire,1800511
Kent,1784369
Essex,1773154
Lancashire,1471979
Merseyside,1391113
South Yorkshire,1365847
Surrey,1161256
Devon,1159832
Hertfordshire,1154766
Tyne and Wear,1118713
Nottinghamshire,1115658
Staffordshire,1111192
North Yorkshire,1080136
Lincolnshire,1060567
Cheshire,1039171
Derbyshire,1032267
Leicestershire,1005558
Somerset,931784
Durham,909849
Berkshire,885654
Gloucestershire,882888
Norfolk,877710
Cambridgeshire,830279
West Sussex,828398
East Sussex,820842
Buckinghamshire,781167
Dorset,759768
Suffolk,738512
Northamptonshire,714392
Wiltshire,698942
Oxfordshire,672516
Bedfordshire,643962
East Riding of Yorkshire,594825
Worcestershire,575421
Warwickshire,551594
Cornwall,545355
Cumbria,497874
Shropshire,479561
Bristol,442474
Northumberland,315987
Herefordshire,187160
Isle of Wight,139105
Rutland,38022
City of London,8072
