name,population
"Autauga County, AL",55601
"Baldwin County, AL",218022
"Barbour County, AL",24881
"Bibb County, AL",22400
"Blount County, AL",57840
"Bullock County, AL",10138
"Butler County, AL",19680
"Calhoun County, AL",114277
"Chambers County, AL",33615
"Cherokee County, AL",26032
"Chilton County, AL",44153
"Choctaw County, AL",12841
"Clarke County, AL",23920
"Clay County, AL",13275
"Cleburne County, AL",14987
"Coffee County, AL",51909
"Colbert County, AL",54762
"Conecuh County, AL",12277
"Coosa County, AL",10715
"Covington County, AL",36986
"Crenshaw County, AL",13824
"Cullman County, AL",83442
"Dale County, AL",48956
"Dallas County, AL",38310
"DeKalb County, AL",71385
"Elmore County, AL",81887
"Escambia County, AL",36748
"Etowah County, AL",102501
"Fayette County, AL",16433
"Franklin County, AL",31363
"Geneva County, AL",26314
"Greene County, AL",8233
"Hale County, AL",14726
"Henry County, AL",17209
"Houston County, AL",104722
"Jackson County, AL",51736
"Jefferson County, AL",659300
"Lamar County, AL",13844
"Lauderdale County, AL",92387
"Lawrence County, AL",32957
"Lee County, AL",163941
"Limestone County, AL",96174
"Lowndes County, AL",9974
"Macon County, AL",18439
"Madison County, AL",366519
"Marengo County, AL",19066
"Marion County, AL",29763
"Marshall County, AL",96109
"Mobile County, AL",413757
"Monroe County, AL",21067
"Montgomery County, AL",225763
"Morgan County, AL",119089
"Perry County, AL",9140
"Pickens County, AL",19938
"Pike County, AL",33338
"Randolph County, AL",22725
"Russell County, AL",57781
"St. Clair County, AL",88690
"Shelby County, AL",215707
"Sumter County, AL",12691
"Talladega County, AL",79828
"Tallapoosa County, AL",40497
"Tuscaloosa County, AL",208911
"Walker County, AL",63711
"Washington County, AL",16378
"Wilcox County, AL",10627
"Winston County, AL",23660
"Aleutians East Borough, AK",3515
"Aleutians West Census Area, AK",5723
"Anchorage Municipality, AK",291538
"Bethel Census Area, AK",18216
"Bristol Bay Borough, AK",877
"Denali Borough, AK",2059
"Dillingham Census Area, AK",5000
"Fairbanks North Star Borough, AK",98971
"Haines Borough, AK",2474
"Hoonah-Angoon Census Area, AK",2151
"Juneau City and Borough, AK",32113
"Kenai Peninsula Borough, AK",58533
"Ketchikan Gateway Borough, AK",13918
"Kodiak Island Borough, AK",13345
"Kusilvak Census Area, AK",8303
"Lake and Peninsula Borough, AK",1587
"Matanuska-Susitna Borough, AK",107610
"Nome Census Area, AK",10008
"North Slope Borough, AK",9872
"Northwest Arctic Borough, AK",7671
"Petersburg Borough, AK",3221
"Prince of Wales-Hyder Census Area, AK",6422
"Sitka City and Borough, AK",8647
"Skagway Municipality, AK",1148
"Southeast Fairbanks Census Area, AK",6918
"Valdez-Cordova Census Area, AK",9164
"Wrangell City and Borough, AK",2503
"Yakutat City and Borough, AK",604
"Yukon-Koyukuk Census Area, AK",5327
"Apache County, AZ",71818
"Cochise County, AZ",126770
"Coconino County, AZ",142854
"Gila County, AZ",53889
"Graham County, AZ",38072
"Greenlee County, AZ",9483
"La Paz County, AZ",21098
"Maricopa County, AZ",4410824
"Mohave County, AZ",209550
"Navajo County, AZ",110445
"Pima County, AZ",1039073
"Pinal County, AZ",447138
"Santa Cruz County, AZ",46511
"Yavapai County, AZ",231993
"Yuma County, AZ",212128
"Arkansas County, AR",17769
"Ashley County, AR",20046
"Baxter County, AR",41619
"Benton County, AR",272608
"Boone County, AR",37480
"Bradley County, AR",10897
"Calhoun County, AR",5277
"Carroll County, AR",28223
"Chicot County, AR",10438
"Clark County, AR",22061
"Clay County, AR",14847
"Cleburne County, AR",24965
"Cleveland County, AR",8018
"Columbia County, AR",23537
"Conway County, AR",20891
"Craighead County, AR",108558
"Crawford County, AR",63406
"Crittenden County, AR",48342
"Cross County, AR",16676
"Dallas County, AR",7182
"Desha County, AR",11512
"Drew County, AR",18328
"Faulkner County, AR",124806
"Franklin County, AR",17810
"Fulton County, AR",12269
"Garland County, AR",99154
"Grant County, AR",18188
"Greene County, AR",45325
"Hempstead County, AR",21741
"Hot Spring County, AR",33701
"Howard County, AR",13341
"Independence County, AR",37678
"Izard County, AR",13593
"Jackson County, AR",16811
"Jefferson County, AR",68114
"Johnson County, AR",26742
"Lafayette County, AR",6682
"Lawrence County, AR",16434
"Lee County, AR",8985
"Lincoln County, AR",13383
"Little River County, AR",12326
"Logan County, AR",21737
"Lonoke County, AR",73657
"Madison County, AR",16481
"Marion County, AR",16722
"Miller County, AR",43592
"Mississippi County, AR",41239
"Monroe County, AR",6900
"Montgomery County, AR",8924
"Nevada County, AR",8326
"Newton County, AR",7805
"Ouachita County, AR",23606
"Perry County, AR",10352
"Phillips County, AR",18029
"Pike County, AR",10673
"Poinsett County, AR",23974
"Polk County, AR",20049
"Pope County, AR",64000
"Prairie County, AR",8074
"Pulaski County, AR",392680
"Randolph County, AR",17948
"St. Francis County, AR",25439
"Saline County, AR",121421
"Scott County, AR",10319
"Searcy County, AR",7958
"Sebastian County, AR",127753
"Sevier County, AR",17139
"Sharp County, AR",17366
"Stone County, AR",12457
"Union County, AR",39126
"Van Buren County, AR",16603
"Washington County, AR",236961
"White County, AR",78727
"Woodruff County, AR",6490
"Yell County, AR",21535
"Alameda County, CA",1666753
"Alpine County, CA",1101
"Amador County, CA",39383
"Butte County, CA",231256
"Calaveras County, CA",45602
"Colusa County, CA",21627
"Contra Costa County, CA",1150215
"Del Norte County, CA",27828
"El Dorado County, CA",190678
"Fresno County, CA",994400
"Glenn County, CA",28047
"Humboldt County, CA",136373
"Imperial County, CA",181827
"Inyo County, CA",17987
"Kern County, CA",896764
"Kings County, CA",151366
"Lake County, CA",64382
"Lassen County, CA",30802
"Los Angeles County, CA",10105518
"Madera County, CA",157672
"Marin County, CA",259666
"Mariposa County, CA",17471
"Mendocino County, CA",87606
"Merced County, CA",274765
"Modoc County, CA",8777
"Mono County, CA",14250
"Monterey County, CA",435594
"Napa County, CA",139417
"Nevada County, CA",99696
"Orange County, CA",3185968
"Placer County, CA",393149
"Plumas County, CA",18804
"Riverside County, CA",2450758
"Sacramento County, CA",1540975
"San Benito County, CA",61537
"San Bernardino County, CA",2171603
"San Diego County, CA",3343364
"San Francisco County, CA",883305
"San Joaquin County, CA",752660
"San Luis Obispo County, CA",284010
"San Mateo County, CA",769545
"Santa Barbara County, CA",446527
"Santa Clara County, CA",1937570
"Santa Cruz County, CA",274255
"Shasta County, CA",180040
"Sierra County, CA",2987
"Siskiyou County, CA",43724
"Solano County, CA",446610
"Sonoma County, CA",499942
"Stanislaus County, CA",549815
"Sutter County, CA",96807
"Tehama County, CA",63916
"Trinity County, CA",12535
"Tulare County, CA",465861
"Tuolumne County, CA",54539
"Ventura County, CA",850967
"Yolo County, CA",220408
"Yuba County, CA",78041
"Adams County, CO",511868
"Alamosa County, CO",16683
"Arapahoe County, CO",651215
"Archuleta County, CO",13765
"Baca County, CO",3585
"Bent County, CO",5882
"Boulder County, CO",326078
"Broomfield County, CO",69267
"Chaffee County, CO",20027
"Cheyenne County, CO",1876
"Clear Creek County, CO",9605
"Conejos County, CO",8200
"Costilla County, CO",3828
"Crowley County, CO",5858
"Custer County, CO",4954
"Delta County, CO",30953
"Denver County, CO",716492
"Dolores County, CO",2074
"Douglas County, CO",342776
"Eagle County, CO",54993
"Elbert County, CO",26282
"El Paso County, CO",713856
"Fremont County, CO",48021
"Garfield County, CO",59770
"Gilpin County, CO",6121
"Grand County, CO",15525
"Gunnison County, CO",17246
"Hinsdale County, CO",811
"Huerfano County, CO",6889
"Jackson County, CO",1399
"Jefferson County, CO",580233
"Kiowa County, CO",1383
"Kit Carson County, CO",7163
"Lake County, CO",7824
"La Plata County, CO",56310
"Larimer County, CO",350518
"Las Animas County, CO",14503
"Lincoln County, CO",5610
"Logan County, CO",21528
"Mesa County, CO",153207
"Mineral County, CO",776
"Moffat County, CO",13188
"Montezuma County, CO",26158
"Montrose County, CO",42214
"Morgan County, CO",28558
"Otero County, CO",18432
"Ouray County, CO",4833
"Park County, CO",18556
"Phillips County, CO",4286
"Pitkin County, CO",17950
"Prowers County, CO",12164
"Pueblo County, CO",167529
"Rio Blanco County, CO",6336
"Rio Grande County, CO",11250
"Routt County, CO",25733
"Saguache County, CO",6843
"San Juan County, CO",762
"San Miguel County, CO",8191
"Sedgwick County, CO",2303
"Summit County, CO",31007
"Teller County, CO",25083
"Washington County, CO",4909
"Weld County, CO",314305
"Yuma County, CO",10020
"Fairfield County, CT",943823
"Hartford County, CT",892697
"Litchfield County, CT",181111
"Middlesex County, CT",162682
"New Haven County, CT",857620
"New London County, CT",266784
"Tolland County, CT",150921
"Windham County, CT",117027
"Kent County, DE",178550
"New Castle County, DE",559335
"Sussex County, DE",229286
"District of Columbia, DC",702455
"Alachua County, FL",269956
"Baker County, FL",28355
"Bay County, FL",185287
"Bradford County, FL",27732
"Brevard County, FL",596849
"Broward County, FL",1951260
"Calhoun County, FL",14587
"Charlotte County, FL",184998
"Citrus County, FL",147929
"Clay County, FL",216072
"Collier County, FL",378488
"Columbia County, FL",70503
"DeSoto County, FL",37489
"Dixie County, FL",16700
"Duval County, FL",950181
"Escambia County, FL",315534
"Flagler County, FL",112067
"Franklin County, FL",11736
"Gadsden County, FL",45894
"Gilchrist County, FL",18256
"Glades County, FL",13724
"Gulf County, FL",16164
"Hamilton County, FL",14310
"Hardee County, FL",27245
"Hendry County, FL",41556
"Hernando County, FL",190865
"Highlands County, FL",105424
"Hillsborough County, FL",1436888
"Holmes County, FL",19477
"Indian River County, FL",157413
"Jackson County, FL",48305
"Jefferson County, FL",14288
"Lafayette County, FL",8732
"Lake County, FL",356495
"Lee County, FL",754610
"Leon County, FL",292502
"Levy County, FL",40770
"Liberty County, FL",8457
"Madison County, FL",18529
"Manatee County, FL",394855
"Marion County, FL",359977
"Martin County, FL",160912
"Miami-Dade County, FL",2761581
"Monroe County, FL",75027
"Nassau County, FL",85832
"Okaloosa County, FL",207269
"Okeechobee County, FL",41537
"Orange County, FL",1380645
"Osceola County, FL",367990
"Palm Beach County, FL",1485941
"Pasco County, FL",539630
"Pinellas County, FL",975280
"Polk County, FL",708009
"Putnam County, FL",74163
"St. Johns County, FL",254261
"St. Lucie County, FL",321128
"Santa Rosa County, FL",179349
"Sarasota County, FL",426718
"Seminole County, FL",467832
"Sumter County, FL",128754
"Suwannee County, FL",44191
"Taylor County, FL",21623
"Union County, FL",14940
"Volusia County, FL",547538
"Wakulla County, FL",32461
"Walton County, FL",71375
"Washington County, FL",24880
"Appling County, GA",18507
"Atkinson County, GA",8297
"Bacon County, GA",11185
"Baker County, GA",3092
"Baldwin County, GA",44823
"Banks County, GA",18988
"Barrow County, GA",80809
"Bartow County, GA",106408
"Ben Hill County, GA",16787
"Berrien County, GA",19252
"Bibb County, GA",153095
